Index;IsIncluded;Filename;StartTime;StopTime;Chapter
254;FALSE;Bashar - The Art of Channeling  5of6.mp3;;;
255;FALSE;Bashar - The Art of Channeling  6of6.mp3;;;
256;FALSE;Bashar & Torah - The Arrival of the Hale Bopp Comet  1of3.mp3;;;
257;FALSE;Bashar & Torah - The Arrival of the Hale Bopp Comet  2of3.mp3;;;
258;FALSE;Bashar & Torah - The Arrival of the Hale Bopp Comet  3of3.mp3;;;
259;FALSE;Bashar - You Are an Eternal Being.mp3;;;
260;FALSE;Bashar - Comet = Commitment + Conviction  1of6 Intro Darryl and another.mp3;;;
261;FALSE;Bashar - Comet = Commitment + Conviction  2of6 Monologue.mp3;;;
262;FALSE;Bashar - Comet = Commitment + Conviction  3of6.mp3;;;
263;FALSE;Bashar - Comet = Commitment + Conviction  4of6.mp3;;;
264;FALSE;Bashar - Comet = Commitment + Conviction  5of6.mp3;;;
265;FALSE;Bashar - Comet = Commitment + Conviction  6of6.mp3;;;
266;FALSE;Bashar - The Wedge (Monologue).aac;;;
267;FALSE;Bashar - Parallel Realities  1of4.mp3;;;
268;FALSE;Bashar - Parallel Realities  2of4.mp3;;;
269;FALSE;Bashar - Parallel Realities  3of4.mp3;;;
270;FALSE;Bashar - Parallel Realities  4of4.mp3;;;
271;FALSE;Bashar - Parallel Realities.mp3;;;
272;FALSE;Bashar - Being Your Natural Self  1of5.mp3;;;
273;FALSE;Bashar - Being Your Natural Self  2of5.mp3;;;
274;FALSE;Bashar - Being Your Natural Self  3of5.mp3;;;
275;FALSE;Bashar - Being Your Natural Self  4of5.mp3;;;
276;FALSE;Bashar - Being Your Natural Self  5of5.mp3;;;
277;FALSE;Bashar - Four Laws of Creation.mp3;;;
278;FALSE;Bashar - Easing the Pain of Death and Loss  1of4.mp3;;;
279;FALSE;Bashar - Easing the Pain of Death and Loss  2of4.mp3;;;
280;FALSE;Bashar - Easing the Pain of Death and Loss  3of4.mp3;;;
281;FALSE;Bashar - Easing the Pain of Death and Loss  4of4.mp3;;;
282;FALSE;Bashar - Tapestry of Life  1of3.mp3;;;
283;FALSE;Bashar - Tapestry of Life  2of3.mp3;;;
284;FALSE;Bashar - Tapestry of Life  3of3.mp3;;;
285;FALSE;Bashar - A Change of Pace  1of3.mp3;;;
286;FALSE;Bashar - A Change of Pace  2of3.mp3;;;
287;FALSE;Bashar - A Change of Pace  3of3.mp3;;;
288;FALSE;Bashar - The Engine of Ascension  1of4.mp3;;;
289;FALSE;Bashar - The Engine of Ascension  2of4.mp3;;;
290;FALSE;Bashar - The Engine of Ascension  3of4.mp3;;;
291;FALSE;Bashar - The Engine of Ascension  4of4.mp3;;;
292;FALSE;Bashar - Metaphysical Misconceptions.mp3;;;
293;FALSE;Bashar - Etheric Fauna and the Dragon 1of3.mp3;;;
294;FALSE;Bashar - Etheric Fauna and the Dragon 2of3.mp3;;;
295;FALSE;Bashar - Etheric Fauna and the Dragon 3of3.mp3;;;
296;FALSE;Bashar - Breaking the Seals  1of4.mp3;;;
297;FALSE;Bashar - Breaking the Seals  2of4.mp3;;;
298;FALSE;Bashar - Breaking the Seals  3of4.mp3;;;
299;FALSE;Bashar - Breaking the Seals  4of4.mp3;;;
300;FALSE;Bashar - Breaking The Seals (Monologue).aac;;;
301;FALSE;Bashar - 1of2 Breaking the Seals (Hybrid Mothers).mp3;;;
302;FALSE;Bashar - 2of2 Breaking the Seals.mp3;;;
303;FALSE;Bashar - Patterns  1of4.mp3;;;
304;FALSE;Bashar - Patterns  2of4.mp3;;;
305;FALSE;Bashar - Patterns  3of4.mp3;;;
306;FALSE;Bashar - Patterns  4of4.mp3;;;
307;FALSE;Bashar - Negotiation & Resolution.aac;;;
308;FALSE;Bashar - The Day of Reflection.mp3;;;
309;FALSE;Bashar - Interdimensional Travel and Tesseract  1of2.mp3;;;
310;FALSE;Bashar - Interdimensional Travel and Tesseract  2of2.mp3;;;
311;FALSE;Bashar - Baggage Claim  1of4.mp3;;;
312;FALSE;Bashar - Baggage Claim  2of4.mp3;;;
313;FALSE;Bashar - Baggage Claim  3of4.mp3;;;
314;FALSE;Bashar - Baggage Claim  4of4.mp3;;;
315;FALSE;Bashar - Baggage Claim (Monologue).aac;;;
316;FALSE;Bashar - The Multidimensional Crystal  1of3.mp3;;;
317;FALSE;Bashar - The Multidimensional Crystal  2of3.mp3;;;
318;FALSE;Bashar - The Multidimensional Crystal  3of3.mp3;;;
319;FALSE;Bashar - Oxymoron (Monologue).aac;;;
320;FALSE;Bashar - Power of The Illusion.mp3;;;
321;FALSE;Bashar - The Power of Paradox  1of3.mp3;;;
322;FALSE;Bashar - The Power of Paradox  2of3.mp3;;;
323;FALSE;Bashar - The Power of Paradox  3of3.mp3;;;
324;FALSE;Bashar - A Strange and Wonderful Planet  1of3.mp3;;;
325;FALSE;Bashar - A Strange and Wonderful Planet  2of3.mp3;;;
326;FALSE;Bashar - A Strange and Wonderful Planet  3of3.mp3;;;
327;FALSE;Bashar - Getting Organized  1of3.mp3;;;
328;FALSE;Bashar - Getting Organized  2of3.mp3;;;
329;FALSE;Bashar - Getting Organized  3of3.mp3;;;
330;FALSE;Bashar - Communication with Higher Conciousness  1of3.m4a;;;
331;FALSE;Bashar - Communication with Higher Conciousness  2of3.m4a;;;
332;FALSE;Bashar - Communication with Higher Conciousness  3of3.m4a;;;
333;FALSE;Bashar - Spirit Guides  1of3.m4a;;;
334;FALSE;Bashar - Spirit Guides  2of3.m4a;;;
335;FALSE;Bashar - Spirit Guides  3of3.m4a;;;
336;FALSE;Bashar - The Passing of the Baton  1of4.m4a;;;
337;FALSE;Bashar - The Passing of the Baton  2of4.m4a;;;
338;FALSE;Bashar - The Passing of the Baton  3of4.m4a;;;
